customer_id,birth_year,gender,income,credit,married,college_degree,region,state
1001,1971,Female,73000,742.0826674,No,No,South,DC
1002,1970,Female,31000,749.3514331,Yes,No,West,WA
1003,1988,Male,35000,542.239859,No,No,South,AR
1004,1984,Other,64000,573.9357833,Yes,Yes,Midwest,MN
1005,1987,Male,58000,644.2438561,No,Yes,West,HI
1006,1994,Male,164000,553.6188568,Yes,Yes,Midwest,MN
1007,1968,Male,39000,608.4885904,No,No,Midwest,MN
1008,1994,Male,69000,710.461747,No,No,South,KY
1009,1958,Male,233000,701.7863727,No,No,West,NM
1010,1994,Female,77000,605.1578693,Yes,No,Northeast,VT
1011,1972,Male,122000,750.971003,Yes,No,West,CO
1012,1953,Female,126000,672.5966302,Yes,No,South,DC
1013,1974,Female,197000,680.2117809,Yes,Yes,West,UT
1014,1997,Male,49000,666.0401662,Yes,No,Northeast,PA
1015,1995,Male,347000,658.3357344,No,Yes,West,AZ
1016,1984,Other,292000,625.7956375,Yes,Yes,Northeast,VT
1017,1997,Male,68000,588.2264026,No,Yes,Midwest,IN
1018,1984,Male,184000,665.9964627,No,Yes,Northeast,VT
1019,1984,Female,60000,758.1732302,No,Yes,West,NM
1020,1972,Male,147000,706.7768163,Yes,No,South,LA
1021,1997,Female,20000,503.0975378,No,Yes,West,OR
1022,1979,Female,155000,804.8961884,No,Yes,West,UT
1023,1995,Female,137000,538.9519854,No,Yes,Northeast,MA
1024,1974,Female,285000,685.4142153,Yes,Yes,Midwest,OH
1025,1961,Male,226000,692.1642407,Yes,Yes,West,NM
1026,1999,Male,66000,643.0304206,No,No,South,AL
1027,1996,Female,69000,692.143375,No,Yes,West,ID
1028,1980,Female,87000,715.2017769,No,No,West,NM
1029,1986,Female,31000,702.100372,No,Yes,West,AZ
1030,1969,Female,163000,636.2516229,Yes,Yes,West,MT
1031,1986,Other,178000,697.6574193,No,Yes,Northeast,VT
1032,1982,Male,52000,642.8872355,No,No,Midwest,SD
1033,1977,Other,152000,705.6501123,Yes,No,West,HI
1034,1969,Other,189000,607.2661118,Yes,Yes,Midwest,IA
1035,1986,Male,93000,778.4301499,No,Yes,Midwest,MO
1036,1978,Female,227000,613.6269137,Yes,Yes,Northeast,CT
1037,1972,Female,195000,732.9886753,Yes,No,Northeast,MA
1038,1970,Female,157000,819.0415036,Yes,Yes,West,UT
1039,1984,Male,141000,728.203885,Yes,Yes,Northeast,PA
1040,1993,Female,356000,671.8215327,Yes,Yes,Northeast,NY
1041,1990,Male,69000,627.6436532,Yes,Yes,West,MT
1042,1998,Female,122000,566.7960738,No,Yes,West,AK
1043,1982,Male,38000,734.8787499,Yes,Yes,West,OR
1044,1968,Female,98000,691.4687086,Yes,No,South,AR
1045,1976,Male,129000,682.3253116,Yes,Yes,Northeast,ME
1046,1987,Other,63000,668.9549284,Yes,No,South,AL
1047,1969,Male,205000,769.9517084,Yes,Yes,West,HI
1048,1970,Male,235000,701.5046086,Yes,Yes,Midwest,SD
1049,1999,Other,88000,630.0376323,No,Yes,West,WA
1050,1983,Other,102000,617.3170701,No,No,West,HI
1051,1988,Female,44000,630.6106371,No,Yes,Northeast,CT
1052,1971,Male,223000,575.1371462,Yes,Yes,Midwest,WI
1053,1967,Male,298000,604.7223948,No,Yes,South,NC
1054,1983,Female,144000,592.9189738,No,Yes,West,NV
1055,1992,Female,23000,729.9634132,No,No,West,CA
1056,1989,Female,131000,730.502426,Yes,Yes,West,WA
1057,1983,Female,58000,610.5415327,No,No,Midwest,SD
1058,1992,Female,300000,545.4459942,No,Yes,Northeast,CT
1059,1989,Male,161000,687.6411758,Yes,Yes,Midwest,IN
1060,1989,Male,54000,704.556973,No,Yes,Northeast,MA
1061,1998,Male,39000,621.2375402,Yes,No,South,DC
1062,1990,Male,78000,737.7984707,No,Yes,Northeast,PA
1063,1984,Male,218000,674.583927,No,Yes,West,MT
1064,1970,Other,237000,768.6356839,Yes,Yes,Northeast,VT
1065,1972,Female,127000,597.0809701,Yes,Yes,Northeast,RI
1066,1972,Female,116000,710.0249237,Yes,No,Northeast,NY
1067,1988,Other,272000,545.091443,Yes,No,Northeast,NJ
1068,1977,Other,188000,591.1788508,No,Yes,West,MT
1069,1979,Other,197000,674.2466729,Yes,Yes,South,WV
1070,1982,Male,200000,710.2664093,No,No,Northeast,RI
1071,1971,Female,94000,721.599196,Yes,Yes,West,HI
1072,1994,Female,185000,652.8534122,No,Yes,West,AK
1073,1984,Female,46000,639.2311562,No,No,South,VA
1074,1972,Female,147000,724.0946352,Yes,Yes,West,NV
1075,1966,Female,102000,668.6946857,Yes,Yes,West,WY
1076,1984,Female,123000,618.8563839,Yes,Yes,West,AZ
1077,1981,Male,93000,701.8037114,No,Yes,West,AZ
1078,1986,Male,42000,753.3285278,No,Yes,West,MT
1079,1970,Female,137000,639.3980859,No,Yes,South,TX
1080,1976,Female,214000,636.6746344,Yes,Yes,South,MS
1081,1968,Other,174000,709.4299239,Yes,No,Midwest,WI
1082,1989,Male,96000,632.6908714,No,No,West,NV
1083,1992,Female,240000,631.8511209,No,Yes,Northeast,VT
1084,1995,Female,265000,593.2034037,No,Yes,West,WA
1085,1972,Other,60000,754.7745049,Yes,No,West,WA
1086,1984,Male,205000,618.2729758,No,Yes,West,MT
1087,1996,Other,31000,478.4869619,Yes,No,West,NM
1088,1995,Male,182000,717.311958,No,Yes,West,WY
1089,1979,Female,226000,798.416217,No,Yes,West,CO
1090,1981,Male,136000,650.9004816,No,Yes,West,UT
1091,1971,Female,125000,763.1381125,No,Yes,West,UT
1092,1999,Other,77000,664.0009468,No,Yes,Midwest,MO
1093,1983,Male,195000,669.3679117,No,Yes,West,WA
1094,1971,Female,179000,606.2199622,Yes,Yes,West,OR
1095,1975,Male,137000,689.8414162,No,Yes,Northeast,VT
1096,1973,Other,112000,670.226126,Yes,No,West,HI
1097,1976,Female,229000,650.1997094,Yes,Yes,Northeast,MA
1098,1977,Male,122000,686.3724999,No,No,Northeast,ME
1099,1992,Female,156000,563.8811227,No,Yes,West,CA
1100,1983,Female,71000,659.0920684,No,Yes,West,AK
1101,1974,Female,211000,717.6729129,Yes,Yes,West,MT
1102,1977,Female,216000,680.3968679,No,Yes,West,AK
1103,1974,Male,263000,763.9013893,Yes,Yes,West,HI
1104,1962,Male,194000,808.0167812,Yes,Yes,West,WA
1105,1969,Male,186000,713.6900954,Yes,Yes,Northeast,ME
1106,1992,Male,266000,659.4585283,No,Yes,Northeast,ME
1107,1999,Female,97000,579.4371325,No,Yes,West,CO
1108,1995,Female,61000,696.9861981,Yes,Yes,West,CO
1109,1990,Female,127000,704.4044095,No,No,Northeast,NJ
1110,1991,Male,25000,597.9802593,Yes,No,West,NM
1111,1993,Female,208000,618.0677677,No,Yes,West,UT
1112,1991,Female,59000,667.5683617,No,Yes,Northeast,PA
1113,1999,Male,190000,660.5940154,Yes,Yes,Northeast,PA
1114,1965,Male,80000,842.900393,Yes,No,South,FL
1115,1981,Male,27000,705.2245996,No,Yes,Northeast,NH
1116,1998,Other,98000,608.7844055,No,Yes,Northeast,NH
1117,1970,Female,210000,646.2056956,Yes,Yes,West,NM
1118,1983,Male,259000,623.9664705,Yes,Yes,West,OR
1119,1976,Male,163000,632.9641018,No,Yes,West,UT
1120,1991,Other,137000,588.4356565,Yes,Yes,West,CO
1121,1977,Female,199000,748.4676897,No,Yes,West,AK
1122,1978,Female,96000,691.9080383,No,No,West,NV
1123,1991,Male,68000,550.1642714,Yes,No,Northeast,ME
1124,1975,Female,124000,674.4255024,No,Yes,Northeast,ME
1125,1993,Male,64000,763.9711228,No,Yes,Midwest,IA
1126,1999,Female,121000,638.5911355,No,Yes,Midwest,MO
1127,1968,Female,219000,702.6926655,Yes,Yes,West,WA
1128,1981,Female,46000,731.4940378,No,No,West,NV
1129,1974,Female,114000,708.6192616,Yes,Yes,West,MT
1130,1990,Male,163000,711.3089727,Yes,No,South,DC
1131,1985,Female,73000,644.1750828,No,Yes,Northeast,NH
